outer_seed,mean_variance,ambiguity,disagreement_rate,discrepancy,mean_conflict,frac_conflict_gt0,frac_conflict_ge025,moran_i,moran_p_sim,p_empirical,n_test,n_hh,hh_rate,n_ll,conflict_moran_i,conflict_n_hh,conflict_hh_rate,conflict_n_ll,hh_jaccard_var_conflict,p_empirical_hh,null_n_hh_mean,null_n_hh_std,null_mean,null_std
0,0.0008409453700273324,0.10718960599373122,0.16387618387618388,0.054082486680388474,0.025668745668745673,0.1282051282051282,0.04365904365904366,0.14457449237133624,0.001,0.009900990099009901,1443,66,0.04573804573804574,470,0.12555323958308773,85,0.058905058905058906,446,0.07092198581560284,0.009900990099009901,0.0,0.0,-0.0006582888497445405,0.005672856716682509
1,0.0015244596052015832,0.11976543188638392,0.2667775467775468,0.0704699677068065,0.037560637560637565,0.158004158004158,0.07484407484407485,0.23886280839137078,0.001,0.009900990099009901,1443,153,0.10602910602910603,533,0.1592799336846324,115,0.07969507969507969,508,0.17543859649122806,0.009900990099009901,0.0,0.0,-0.0006728052843101023,0.005867392759879453
2,0.0008408913254369985,0.10453288840159287,0.16975051975051975,0.05847765519513531,0.025474705474705477,0.13513513513513514,0.04435204435204435,0.23181720549295876,0.001,0.009900990099009901,1443,117,0.08108108108108109,492,0.1176969341420257,86,0.0595980595980596,446,0.057291666666666664,0.009900990099009901,0.0,0.0,2.1719744530704866e-05,0.005971579143175597
3,0.0011452230709241551,0.12906241202535118,0.28635481635481635,0.06374077221422318,0.04501732501732502,0.2182952182952183,0.06999306999306999,0.36697586214870825,0.001,0.009900990099009901,1443,266,0.18433818433818433,519,0.21378772182906663,157,0.1088011088011088,542,0.125,0.009900990099009901,0.0,0.0,-0.0009194008413671612,0.0055686712211685495
4,0.0014160377490167232,0.14079265603103408,0.27675675675675676,0.07212774717300492,0.03221067221067221,0.20304920304920304,0.04643104643104643,0.11204085235191139,0.001,0.009900990099009901,1443,41,0.028413028413028413,418,0.1467394889053836,119,0.08246708246708247,441,0.01910828025477707,0.009900990099009901,0.0,0.0,0.0005625509732984757,0.005953886966555508
5,0.0012954758779251641,0.12131398845164884,0.23800646800646802,0.0592984184963924,0.034455994455994454,0.18572418572418573,0.04573804573804574,0.1404758213821106,0.001,0.009900990099009901,1443,72,0.0498960498960499,408,0.20308586323178693,129,0.0893970893970894,485,0.05789473684210526,0.009900990099009901,0.0,0.0,-0.0015820917414549182,0.006582839269189531
6,0.0014550619103630093,0.13111174786725996,0.2802725802725803,0.06605758403454298,0.035287595287595286,0.1891891891891892,0.060291060291060294,0.18287836182833103,0.001,0.009900990099009901,1443,146,0.10117810117810118,499,0.1842683707362012,148,0.10256410256410256,502,0.061371841155234655,0.009900990099009901,0.0,0.0,-0.0017040242104826842,0.0057766387479267454
7,0.0017252316918558433,0.14242534996941983,0.3369276969276969,0.07558326854067013,0.043076923076923075,0.1968121968121968,0.08108108108108109,0.23034336360484117,0.001,0.009900990099009901,1443,174,0.12058212058212059,505,0.19851993383113856,128,0.0887040887040887,533,0.16153846153846155,0.009900990099009901,0.0,0.0,0.0001635761079279017,0.006443292438064125
8,0.0016416050283828095,0.13396782940827576,0.32772695772695776,0.07259815851144448,0.04352044352044352,0.19126819126819128,0.08108108108108109,0.3077890707354997,0.001,0.009900990099009901,1443,202,0.13998613998613998,560,0.17190894455690556,136,0.09424809424809424,533,0.04,0.009900990099009901,0.0,0.0,0.00018208658070774624,0.005686100496177002
9,0.001196447410750343,0.11897501767990525,0.20586509586509585,0.05859955766149757,0.03212751212751213,0.1891891891891892,0.04365904365904366,0.14441900281880382,0.001,0.009900990099009901,1443,47,0.03257103257103257,475,0.1458054235280807,117,0.08108108108108109,438,0.012345679012345678,0.009900990099009901,0.0,0.0,-2.345254911821068e-05,0.0057619869091839375
