family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
GBM,learning_rate,hp_learning_rate,25,25,4,0.3322117829038277,0.3294883419160459,0.577682527601053,0.33733089951866296,compas,0,Rashomon,all
GBM,max_depth,hp_max_depth,25,25,4,0.2722102808412861,0.22405170005191907,0.5759240455844679,0.25814358907128254,compas,0,Rashomon,all
GBM,subsample,hp_subsample,25,25,3,0.10578616250967465,0.07921394213403897,0.2414183286190013,0.08882035070311653,compas,0,Rashomon,all
GBM,n_estimators,hp_n_estimators,25,25,3,0.07147406847262502,0.06183085076169353,0.14082004195009434,0.06584938523216798,compas,0,Rashomon,all
LogReg,C,hp_C,25,25,10,0.7682835636498998,0.8542873933593733,0.9940748906841854,0.8647793772248757,compas,0,Rashomon,all
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.0939178142457572,0.0721485965468454,0.18879821691273405,0.04976719958760284,compas,0,Rashomon,all
MLP,alpha,hp_alpha,25,25,4,0.23680871501986775,0.21940260256356223,0.4152698953173612,0.2503573856165756,compas,0,Rashomon,all
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.1412068466324404,0.11552541010013555,0.31314923207856726,0.18854445840590717,compas,0,Rashomon,all
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.1368558469248814,0.1195886641207787,0.26795645363274245,0.1402044874560796,compas,0,Rashomon,all
MLP,activation,hp_activation,25,25,2,0.054975971927716104,0.02343673359029126,0.12954619950280155,0.057733384300118984,compas,0,Rashomon,all
RF,max_depth,hp_max_depth,25,24,4,0.589222264816536,0.6567491235156568,0.9453463275847478,0.6674135780015169,compas,0,Rashomon,all
RF,min_samples_split,hp_min_samples_split,25,25,3,0.10703717327990975,0.1075518581887579,0.1956572154490991,0.12174423985234788,compas,0,Rashomon,all
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.07240488318718544,0.05586130445716548,0.14890439859026028,0.060662825943217064,compas,0,Rashomon,all
RF,max_features,hp_max_features,25,20,2,0.03133103634268088,0.027039559604119797,0.0602644491829264,0.0300116420397984,compas,0,Rashomon,all
RF,n_estimators,hp_n_estimators,25,25,3,0.03489415719754583,0.021478331944114814,0.08713550884499778,0.02561000693217424,compas,0,Rashomon,all
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.8362650109624233,0.87789854670687,0.9830130021046769,0.8355936787522003,compas,0,Rashomon,all
kNN,weights,hp_weights,25,25,2,0.13908006018154206,0.042479132115040716,0.49800141391892877,0.17532078974651102,compas,0,Rashomon,all
kNN,p,hp_p,25,25,2,0.015990441366784406,0.0053731529096878216,0.03762778261419215,0.015030546465991073,compas,0,Rashomon,all
GBM,learning_rate,hp_learning_rate,25,25,4,0.29330170251652393,0.2779319900887049,0.5458970223846883,0.30673903185666596,compas,0,Rashomon,HH
GBM,max_depth,hp_max_depth,25,25,4,0.2256171225463533,0.1845196556766856,0.47214302743952363,0.23856144868392967,compas,0,Rashomon,HH
GBM,subsample,hp_subsample,25,25,3,0.11410505014232322,0.08487625610712211,0.24397279375766076,0.09000625743152194,compas,0,Rashomon,HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.07352760982019703,0.05799738842854778,0.1485253639440113,0.058123131290472724,compas,0,Rashomon,HH
LogReg,C,hp_C,25,25,10,0.8011586209970288,0.9005401264704246,0.9984831059466485,0.8492717419662963,compas,0,Rashomon,HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.0933750107404754,0.08584282992594519,0.14174622528630065,0.05083045583006698,compas,0,Rashomon,HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.2501781434443675,0.23582812379245768,0.48643388256520176,0.3383655132108966,compas,0,Rashomon,HH
MLP,alpha,hp_alpha,25,25,4,0.22124677544582358,0.17045531562642696,0.4164016289163023,0.2116210906652226,compas,0,Rashomon,HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.16627736088211884,0.1508970990528343,0.2970808602499188,0.17618474484405583,compas,0,Rashomon,HH
MLP,activation,hp_activation,25,25,2,0.061073893762602846,0.02438476756521153,0.17066920763501062,0.0574551046584528,compas,0,Rashomon,HH
RF,max_depth,hp_max_depth,25,24,4,0.589209991066996,0.6673924469415202,0.9459493759088627,0.6369624021028837,compas,0,Rashomon,HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.11058509105063162,0.11247607854394254,0.19472916814778854,0.11799622290587067,compas,0,Rashomon,HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.05992478237603018,0.0413654070502829,0.12612309859031062,0.051558251242828444,compas,0,Rashomon,HH
RF,max_features,hp_max_features,25,20,2,0.03640090112520463,0.03541087335316764,0.06327877010693024,0.034922889348849136,compas,0,Rashomon,HH
RF,n_estimators,hp_n_estimators,25,25,3,0.023582682518297694,0.016027044318800303,0.05790113269549249,0.019985826398542635,compas,0,Rashomon,HH
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.8293831340767739,0.8605040795841233,0.9797373086885406,0.8533678053118352,compas,0,Rashomon,HH
kNN,weights,hp_weights,25,25,2,0.08338537970391875,0.015536415424025328,0.2447201836374178,0.1178106103866161,compas,0,Rashomon,HH
kNN,p,hp_p,25,25,2,0.022034341577279053,0.005029975218044013,0.04927514585851687,0.015968480553088586,compas,0,Rashomon,HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.3359667830627848,0.3370301247564338,0.5783863913901486,0.34372537065523684,compas,0,Rashomon,non_HH
GBM,max_depth,hp_max_depth,25,25,4,0.27670673304756,0.2285006580545189,0.58262521056345,0.26223674980546097,compas,0,Rashomon,non_HH
GBM,subsample,hp_subsample,25,25,3,0.10498335192506496,0.07718838210659493,0.23495533783115588,0.08857246631667624,compas,0,Rashomon,non_HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.0712758923699338,0.06195155080973779,0.1406057571784628,0.06746436697731277,compas,0,Rashomon,non_HH
LogReg,C,hp_C,25,25,10,0.7651109707296221,0.8542873933593733,0.9928436733527007,0.8665199832484547,compas,0,Rashomon,non_HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.09397019725880493,0.07099307686704556,0.19380242233354256,0.049647857715719626,compas,0,Rashomon,non_HH
MLP,alpha,hp_alpha,25,25,4,0.23831051313985527,0.22171558330455474,0.4152698953173612,0.25702598353247497,compas,0,Rashomon,non_HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.13069061966046872,0.10295351784477527,0.2935734537940807,0.1627522040076716,compas,0,Rashomon,non_HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.13401653668736685,0.11605879874089058,0.26361645072896345,0.1340103517047822,compas,0,Rashomon,non_HH
MLP,activation,hp_activation,25,25,2,0.05438749466857429,0.023228763401040475,0.12349374953834347,0.05778129118023707,compas,0,Rashomon,non_HH
RF,max_depth,hp_max_depth,25,24,4,0.5892234492893259,0.6548816425099986,0.9450443585597266,0.6746299870115657,compas,0,Rashomon,non_HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.10669478303911821,0.1058062840858644,0.1959767498785179,0.12262669382564978,compas,0,Rashomon,non_HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.07360926981561759,0.056797282304283006,0.1501183442961889,0.06280645769150289,compas,0,Rashomon,non_HH
