model_name,candidate_id,candidate_seed,val_brier,outer_seed,hp_C,hp_activation,hp_alpha,hp_bootstrap,hp_early_stopping,hp_hidden_layer_sizes,hp_l1_ratio,hp_learning_rate,hp_learning_rate_init,hp_max_depth,hp_max_features,hp_max_iter,hp_min_samples_leaf,hp_min_samples_split,hp_n_estimators,hp_n_iter_no_change,hp_n_jobs,hp_n_neighbors,hp_p,hp_penalty,hp_solver,hp_subsample,hp_tol,hp_weights,family,dataset,seed,pool_type,global_row_idx,V_m,V_m_HH,V_m_nonHH
GBM,40,40,0.1588500744083017,0,,,,,,,,0.05,,4.0,,,,,100.0,,,,,,,1.0,,,GBM,german,0,Rashomon,190,0.0033686603003424322,0.006635671533624279,0.0032501676649384255
GBM,31,31,0.1611992384244696,0,,,,,,,,0.01,,4.0,,,,,500.0,,,,,,,1.0,,,GBM,german,0,Rashomon,181,0.0034371751385587923,0.00844345287884444,0.00325560029823755
GBM,46,46,0.163769907488269,0,,,,,,,,0.01,,5.0,,,,,200.0,,,,,,,1.0,,,GBM,german,0,Rashomon,196,0.00735867964322443,0.012022483963485667,0.007189526118655371
GBM,29,29,0.1643376135380991,0,,,,,,,,0.1,,3.0,,,,,100.0,,,,,,,1.0,,,GBM,german,0,Rashomon,179,0.005776858500503601,0.016949595858318827,0.005371629684417039
GBM,15,15,0.1649494053893848,0,,,,,,,,0.05,,2.0,,,,,200.0,,,,,,,0.6,,,GBM,german,0,Rashomon,165,0.0029901509856821063,0.010712325805186159,0.0027100721062182287
GBM,44,44,0.1651683779334325,0,,,,,,,,0.01,,4.0,,,,,200.0,,,,,,,1.0,,,GBM,german,0,Rashomon,194,0.0056256940624212146,0.005884544110119064,0.00561630571872233
GBM,11,11,0.1652472330715539,0,,,,,,,,0.01,,3.0,,,,,500.0,,,,,,,0.6,,,GBM,german,0,Rashomon,161,0.0012272227074384265,0.007754998673972962,0.0009904639936262935
GBM,1,1,0.1658606404464662,0,,,,,,,,0.01,,4.0,,,,,200.0,,,,,,,0.8,,,GBM,german,0,Rashomon,151,0.0044352143955926964,0.004733472313123146,0.004424396750915428
GBM,30,30,0.1660170642033194,0,,,,,,,,0.05,,3.0,,,,,200.0,,,,,,,1.0,,,GBM,german,0,Rashomon,180,0.004910949990093035,0.02189323246383307,0.004295012283791582
GBM,3,3,0.1662119490374921,0,,,,,,,,0.1,,3.0,,,,,100.0,,,,,,,0.8,,,GBM,german,0,Rashomon,153,0.005122357818569701,0.009817313681388102,0.0049520744453068555
GBM,42,42,0.1673205670328407,0,,,,,,,,0.05,,2.0,,,,,200.0,,,,,,,1.0,,,GBM,german,0,Rashomon,192,0.0037900164269488268,0.00631598119366017,0.0036984011245292437
GBM,14,14,0.167683221690397,0,,,,,,,,0.01,,5.0,,,,,200.0,,,,,,,0.6,,,GBM,german,0,Rashomon,164,0.0033283995160372616,0.007223122864248401,0.0031871401199881537
GBM,20,20,0.167844494963084,0,,,,,,,,0.05,,5.0,,,,,100.0,,,,,,,0.8,,,GBM,german,0,Rashomon,170,0.0055239248066299386,0.006676470423403191,0.005482122634000856
GBM,49,49,0.1687978926616229,0,,,,,,,,0.01,,5.0,,,,,100.0,,,,,,,1.0,,,GBM,german,0,Rashomon,199,0.013899500309054371,0.027398715150708432,0.0134098914806006
GBM,4,4,0.1692491890538619,0,,,,,,,,0.1,,3.0,,,,,200.0,,,,,,,0.6,,,GBM,german,0,Rashomon,154,0.0149712570827321,0.03908124400466684,0.014096801598516853
GBM,47,47,0.1700633705026713,0,,,,,,,,0.1,,4.0,,,,,100.0,,,,,,,0.8,,,GBM,german,0,Rashomon,197,0.00956952151891749,0.014972052271334158,0.00937357480768994
GBM,33,33,0.1711932479235209,0,,,,,,,,0.05,,2.0,,,,,100.0,,,,,,,1.0,,,GBM,german,0,Rashomon,183,0.007002104587720959,0.025090286532464926,0.006346056537911592
GBM,43,43,0.171297531206528,0,,,,,,,,0.1,,5.0,,,,,100.0,,,,,,,0.6,,,GBM,german,0,Rashomon,193,0.018184358216018746,0.026015456492985447,0.017900328744833424
GBM,8,8,0.1714297265797151,0,,,,,,,,0.01,,3.0,,,,,200.0,,,,,,,0.8,,,GBM,german,0,Rashomon,158,0.00737856752373695,0.015965557050937565,0.007067122307724494
GBM,37,37,0.1721154956878427,0,,,,,,,,0.1,,2.0,,,,,200.0,,,,,,,0.6,,,GBM,german,0,Rashomon,187,0.009480025875625719,0.01742990996600409,0.009191688110689716
GBM,23,23,0.1731273977848598,0,,,,,,,,0.05,,2.0,,,,,500.0,,,,,,,1.0,,,GBM,german,0,Rashomon,173,0.00901663890419141,0.030577918522470212,0.008234623581248655
GBM,48,48,0.1741962217240799,0,,,,,,,,0.1,,4.0,,,,,200.0,,,,,,,0.8,,,GBM,german,0,Rashomon,198,0.02138418128279401,0.04563149391879694,0.02050474507319805
GBM,25,25,0.1748553735651992,0,,,,,,,,0.01,,5.0,,,,,100.0,,,,,,,0.6,,,GBM,german,0,Rashomon,175,0.010184704589192774,0.030587480613111062,0.009444707531330454
GBM,0,0,0.1759251826228455,0,,,,,,,,0.01,,4.0,,,,,100.0,,,,,,,0.8,,,GBM,german,0,Rashomon,150,0.01231676015523281,0.03127761676710274,0.011629060692626134
GBM,32,32,0.178512699391607,0,,,,,,,,0.2,,2.0,,,,,100.0,,,,,,,0.6,,,GBM,german,0,Rashomon,182,0.013768407187349604,0.011383663391468605,0.013854900485645806
LogReg,42,42,0.1678904349420433,0,0.1623776739188721,,,,,,0.5,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,42,0.009733912704217577,0.028231401137080926,0.009063019341367612
LogReg,20,20,0.1690229639243002,0,0.1623776739188721,,,,,,0.75,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,20,0.013450585252995645,0.030427037334639397,0.012834859011692503
LogReg,43,43,0.1691488859023121,0,0.1623776739188721,,,,,,0.25,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,43,0.00649476141943065,0.02730036481879854,0.005740154042251504
LogReg,47,47,0.1715391739022017,0,0.1623776739188721,,,,,,0.0,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,47,0.0037161593529701996,0.02250247772745752,0.0030347902927556343
LogReg,25,25,0.172929134786521,0,0.5455594781168515,,,,,,0.75,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,25,0.0034357719210386358,0.02984159596854974,0.002478047732786938
LogReg,24,24,0.1766404290303239,0,0.5455594781168515,,,,,,0.0,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,24,0.0011718043297157033,0.018551183707286156,0.0005414641450369829
LogReg,15,15,0.1787226213393599,0,0.01438449888287663,,,,,,0.0,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,15,0.023829053670812863,0.04738098124255931,0.02297483868116403
LogReg,8,8,0.180298351846679,0,1.8329807108324339,,,,,,1.0,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,8,0.0003392903334113298,0.004115746197366042,0.00020232043160986346
LogReg,10,10,0.1806219800212776,0,1.8329807108324339,,,,,,0.75,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,10,0.00037553962102687287,0.005113590493305603,0.00020369321633282553
LogReg,34,34,0.1813478909050501,0,1.8329807108324339,,,,,,0.25,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,34,0.0004493949687224191,0.005952841049718,0.00024978811604382285
LogReg,37,37,0.1848489068193408,0,6.1584821106602545,,,,,,0.25,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,37,0.000734361282851225,0.0011782978554976628,0.0007182599563821827
LogReg,3,3,0.1848813297219149,0,6.1584821106602545,,,,,,0.0,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,3,0.000738553957695299,0.0011273762665293778,0.0007244515941624564
LogReg,30,30,0.186124764670457,0,20.6913808111479,,,,,,0.0,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,30,0.001202880323422107,0.005041947718999189,0.0010636395370540257
LogReg,41,41,0.1861622973858639,0,20.6913808111479,,,,,,0.25,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,41,0.0012191652087196012,0.005308361080634726,0.0010708524050750106
LogReg,38,38,0.1861773980080946,0,20.6913808111479,,,,,,0.75,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,38,0.0012645668211516226,0.006186514802845501,0.0010860505731109115
LogReg,21,21,0.1861792846231471,0,20.6913808111479,,,,,,0.5,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,21,0.0012366675006146278,0.005618270149027321,0.0010777492698431823
LogReg,33,33,0.1866222730289227,0,69.51927961775606,,,,,,0.75,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,33,0.001480604014018657,0.00841730223906261,0.0012290139229548865
LogReg,23,23,0.1867359813058386,0,233.57214690901213,,,,,,0.25,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,23,0.0015472595782300863,0.009181941800718922,0.0012703540053937033
LogReg,7,7,0.1867527420335947,0,233.57214690901213,,,,,,0.75,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,7,0.0015540479547665042,0.009269003544680585,0.0012742309126452676
LogReg,39,39,0.1867628430327909,0,233.57214690901213,,,,,,1.0,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,39,0.0015575453131067673,0.009311209315701707,0.0012763243389193855
LogReg,4,4,0.1867778620810259,0,784.7599703514607,,,,,,0.0,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,4,0.001573503835028458,0.009498872566167996,0.001286055228199562
LogReg,29,29,0.1867807332845789,0,784.7599703514607,,,,,,0.25,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,29,0.0015744322501083743,0.009510628736218845,0.0012865909267779421
LogReg,12,12,0.1867881361294476,0,784.7599703514607,,,,,,0.75,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,12,0.0015766036600133313,0.00953567531223705,0.001287932667445631
LogReg,31,31,0.1867942012771585,0,2636.6508987303555,,,,,,0.0,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,31,0.0015824700015209532,0.00960664213129683,0.001291437851736335
LogReg,28,28,0.1867960819582792,0,2636.6508987303555,,,,,,0.5,,,,,2000.0,,,,,,,,elasticnet,saga,,0.0001,,LogReg,german,0,Rashomon,28,0.0015830504981415882,0.009613643609124159,0.0012917854630282305
MLP,24,24,0.1656061438909492,0,,tanh,0.0001,,True,"[200, 100]",,,0.0001,,,1000.0,,,,10.0,,,,,adam,,,,MLP,german,0,Rashomon,224,0.0023800774271887874,0.002141311013620411,0.002388737348924429
MLP,21,21,0.1683996761203331,0,,tanh,0.001,,True,"[100, 50]",,,0.001,,,1000.0,,,,10.0,,,,,adam,,,,MLP,german,0,Rashomon,221,0.005561685107096141,0.006528365134616423,0.005526624173455509
MLP,45,45,0.170918937589189,0,,tanh,0.001,,True,[200],,,0.001,,,1000.0,,,,10.0,,,,,adam,,,,MLP,german,0,Rashomon,245,0.0033130933223728997,0.01054293558563921,0.003050871064119719
MLP,25,25,0.1719171940069061,0,,relu,0.0001,,True,[200],,,0.001,,,1000.0,,,,10.0,,,,,adam,,,,MLP,german,0,Rashomon,225,0.0046886204236042065,0.00488761255675367,0.004681403092350081
MLP,7,7,0.1731530779348072,0,,relu,1e-05,,True,"[100, 50]",,,0.01,,,1000.0,,,,10.0,,,,,adam,,,,MLP,german,0,Rashomon,207,0.0061214475147936855,0.006132796282479353,0.006121035901457935
MLP,30,30,0.1731811719174008,0,,tanh,0.01,,True,[50],,,0.001,,,1000.0,,,,10.0,,,,,adam,,,,MLP,german,0,Rashomon,230,0.006098729495116802,0.007555730855988157,0.006045884886173283
MLP,33,33,0.1734223339567938,0,,relu,0.0001,,True,[50],,,0.001,,,1000.0,,,,10.0,,,,,adam,,,,MLP,german,0,Rashomon,233,0.007663530850337477,0.009736710064057416,0.007588337821860589
MLP,3,3,0.174841563455053,0,,tanh,0.001,,True,[100],,,0.01,,,1000.0,,,,10.0,,,,,adam,,,,MLP,german,0,Rashomon,203,0.005725694879619665,0.002634416917239006,0.005837813769446943
