family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
GBM,max_depth,hp_max_depth,25,25,4,0.15551289969300586,0.11381505178459114,0.3494636628507156,0.20656855225132822,adult,0,Rashomon,all
GBM,n_estimators,hp_n_estimators,25,25,3,0.22183569082328228,0.22179192794850847,0.401592983491154,0.15097819827348388,adult,0,Rashomon,all
GBM,subsample,hp_subsample,25,25,3,0.11079037905239666,0.08420334260213347,0.24341050016332177,0.12756962994022844,adult,0,Rashomon,all
GBM,learning_rate,hp_learning_rate,25,25,3,0.06625426709085094,0.053692334186191557,0.13701589732609296,0.06335299606488064,adult,0,Rashomon,all
LogReg,C,hp_C,25,25,11,0.9430802179497002,0.9836231097780771,0.9991851226176842,0.9722126081678757,adult,0,Rashomon,all
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.09380875501196398,0.08666266442007343,0.140218614080463,0.07316506617176005,adult,0,Rashomon,all
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.13253103450571901,0.09807733506247397,0.2979174159645437,0.1622993682065121,adult,0,Rashomon,all
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.14343686265250494,0.12333404256720472,0.2668560179775677,0.1555342678505949,adult,0,Rashomon,all
MLP,activation,hp_activation,25,25,2,0.09576275699988222,0.05166991263242901,0.2603770864259862,0.11111781872781609,adult,0,Rashomon,all
MLP,alpha,hp_alpha,25,25,4,0.09264749549815449,0.07872736296599847,0.1773074336363262,0.1043485413404756,adult,0,Rashomon,all
RF,max_depth,hp_max_depth,25,20,3,0.2650504055027147,0.23024961474194222,0.5463574213659141,0.3285666113578029,adult,0,Rashomon,all
RF,max_features,hp_max_features,25,17,2,0.14496322111624624,0.09609326085404048,0.35998895846665413,0.12695800477556732,adult,0,Rashomon,all
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.11206084027444359,0.07691408607207749,0.26417982472538687,0.09561352800808848,adult,0,Rashomon,all
RF,min_samples_split,hp_min_samples_split,25,25,3,0.08623905494610036,0.0736245400115136,0.17935270562819722,0.06249788608584018,adult,0,Rashomon,all
RF,n_estimators,hp_n_estimators,25,25,3,0.038063707304953745,0.02809618465369458,0.08196999091773459,0.0310824046999818,adult,0,Rashomon,all
kNN,n_neighbors,hp_n_neighbors,25,25,9,0.5749842428221914,0.6504020891333636,0.9416059312659667,0.5641192994546659,adult,0,Rashomon,all
kNN,p,hp_p,25,25,2,0.1243068641670261,0.03605089525047935,0.38290283732853264,0.26088387508278243,adult,0,Rashomon,all
kNN,weights,hp_weights,25,25,2,0.06289856331758291,0.02630970236140146,0.1361996435713773,0.12181821806703347,adult,0,Rashomon,all
GBM,max_depth,hp_max_depth,25,25,4,0.22537937403636388,0.1661478315403312,0.5017174821866115,0.2682933563279804,adult,0,Rashomon,HH
