dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
adult,0,Rashomon,all,__global__,__family__,model_name,ratio_of_sums,0.7180623606508337
adult,0,Rashomon,all,__global__,__family__,model_name,mean_ratio,0.5567216062374573
adult,0,Rashomon,HH,__global__,__family__,model_name,ratio_of_sums,0.8148590685558709
adult,0,Rashomon,HH,__global__,__family__,model_name,mean_ratio,0.7512220922956607
adult,0,Rashomon,non_HH,__global__,__family__,model_name,ratio_of_sums,0.6569061295434631
adult,0,Rashomon,non_HH,__global__,__family__,model_name,mean_ratio,0.5415007624609378
adult,0,Rashomon,all,GBM,max_depth,,decomp_ratio_of_sums,0.20656855225132822
adult,0,Rashomon,all,GBM,n_estimators,,decomp_ratio_of_sums,0.15097819827348388
adult,0,Rashomon,all,GBM,subsample,,decomp_ratio_of_sums,0.12756962994022844
adult,0,Rashomon,all,GBM,learning_rate,,decomp_ratio_of_sums,0.06335299606488064
adult,0,Rashomon,all,LogReg,C,,decomp_ratio_of_sums,0.9722126081678757
adult,0,Rashomon,all,LogReg,l1_ratio,,decomp_ratio_of_sums,0.07316506617176005
adult,0,Rashomon,all,MLP,learning_rate_init,,decomp_ratio_of_sums,0.1622993682065121
adult,0,Rashomon,all,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.1555342678505949
adult,0,Rashomon,all,MLP,activation,,decomp_ratio_of_sums,0.11111781872781609
adult,0,Rashomon,all,MLP,alpha,,decomp_ratio_of_sums,0.1043485413404756
adult,0,Rashomon,all,RF,max_depth,,decomp_ratio_of_sums,0.3285666113578029
adult,0,Rashomon,all,RF,max_features,,decomp_ratio_of_sums,0.12695800477556732
adult,0,Rashomon,all,RF,min_samples_leaf,,decomp_ratio_of_sums,0.09561352800808848
adult,0,Rashomon,all,RF,min_samples_split,,decomp_ratio_of_sums,0.06249788608584018
adult,0,Rashomon,all,RF,n_estimators,,decomp_ratio_of_sums,0.0310824046999818
adult,0,Rashomon,all,kNN,n_neighbors,,decomp_ratio_of_sums,0.5641192994546659
adult,0,Rashomon,all,kNN,p,,decomp_ratio_of_sums,0.26088387508278243
adult,0,Rashomon,all,kNN,weights,,decomp_ratio_of_sums,0.12181821806703347
adult,0,Rashomon,HH,GBM,max_depth,,decomp_ratio_of_sums,0.2682933563279804
adult,0,Rashomon,HH,GBM,subsample,,decomp_ratio_of_sums,0.13988285071888826
adult,0,Rashomon,HH,GBM,n_estimators,,decomp_ratio_of_sums,0.1353512649569553
adult,0,Rashomon,HH,GBM,learning_rate,,decomp_ratio_of_sums,0.05819895441376754
adult,0,Rashomon,HH,LogReg,C,,decomp_ratio_of_sums,0.9805737569995658
adult,0,Rashomon,HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.06054497843919679
adult,0,Rashomon,HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.1876391700362009
adult,0,Rashomon,HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.1564130257282974
adult,0,Rashomon,HH,MLP,activation,,decomp_ratio_of_sums,0.12049083100941112
adult,0,Rashomon,HH,MLP,alpha,,decomp_ratio_of_sums,0.11714762927352103
adult,0,Rashomon,HH,RF,max_depth,,decomp_ratio_of_sums,0.3598670221621362
adult,0,Rashomon,HH,RF,max_features,,decomp_ratio_of_sums,0.22651731773567146
adult,0,Rashomon,HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.05225302652420244
adult,0,Rashomon,HH,RF,min_samples_split,,decomp_ratio_of_sums,0.02701458959819984
adult,0,Rashomon,HH,RF,n_estimators,,decomp_ratio_of_sums,0.020335407339392146
adult,0,Rashomon,HH,kNN,p,,decomp_ratio_of_sums,0.5610911014128235
adult,0,Rashomon,HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.4138686123506909
adult,0,Rashomon,HH,kNN,weights,,decomp_ratio_of_sums,0.038742118172416386
adult,0,Rashomon,non_HH,GBM,max_depth,,decomp_ratio_of_sums,0.19106735859277163
adult,0,Rashomon,non_HH,GBM,n_estimators,,decomp_ratio_of_sums,0.15490265171246181
adult,0,Rashomon,non_HH,GBM,subsample,,decomp_ratio_of_sums,0.12447736220919539
adult,0,Rashomon,non_HH,GBM,learning_rate,,decomp_ratio_of_sums,0.06464735088630631
adult,0,Rashomon,non_HH,LogReg,C,,decomp_ratio_of_sums,0.9701840598850763
adult,0,Rashomon,non_HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.07622690107196366
adult,0,Rashomon,non_HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.15526613981100393
adult,0,Rashomon,non_HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.15456764646538507
adult,0,Rashomon,non_HH,MLP,activation,,decomp_ratio_of_sums,0.10825790990435592
adult,0,Rashomon,non_HH,MLP,alpha,,decomp_ratio_of_sums,0.10044326271581876
adult,0,Rashomon,non_HH,RF,max_depth,,decomp_ratio_of_sums,0.31465229355422125
adult,0,Rashomon,non_HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.11360024734985054
adult,0,Rashomon,non_HH,RF,max_features,,decomp_ratio_of_sums,0.10465716079547974
