dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
german,0,Rashomon,all,__global__,__family__,model_name,ratio_of_sums,0.4897198357295206
german,0,Rashomon,all,__global__,__family__,model_name,mean_ratio,0.42643142740720114
german,0,Rashomon,HH,__global__,__family__,model_name,ratio_of_sums,0.5359703285278371
german,0,Rashomon,HH,__global__,__family__,model_name,mean_ratio,0.512791659161086
german,0,Rashomon,non_HH,__global__,__family__,model_name,ratio_of_sums,0.48594651815822976
german,0,Rashomon,non_HH,__global__,__family__,model_name,mean_ratio,0.4232991910223452
german,0,Rashomon,all,GBM,learning_rate,,decomp_ratio_of_sums,0.48127895942539756
german,0,Rashomon,all,GBM,max_depth,,decomp_ratio_of_sums,0.17689593172860335
german,0,Rashomon,all,GBM,subsample,,decomp_ratio_of_sums,0.12867514153949478
german,0,Rashomon,all,GBM,n_estimators,,decomp_ratio_of_sums,0.03508957894988136
german,0,Rashomon,all,LogReg,C,,decomp_ratio_of_sums,0.9579143713770237
german,0,Rashomon,all,LogReg,l1_ratio,,decomp_ratio_of_sums,0.040668034987856386
german,0,Rashomon,all,MLP,learning_rate_init,,decomp_ratio_of_sums,0.17403839332161605
german,0,Rashomon,all,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.13319121358636063
german,0,Rashomon,all,MLP,alpha,,decomp_ratio_of_sums,0.08218008737788211
german,0,Rashomon,all,MLP,activation,,decomp_ratio_of_sums,0.07957496757819792
german,0,Rashomon,all,RF,max_depth,,decomp_ratio_of_sums,0.21234900891330308
german,0,Rashomon,all,RF,n_estimators,,decomp_ratio_of_sums,0.11948858716191517
german,0,Rashomon,all,RF,min_samples_leaf,,decomp_ratio_of_sums,0.09289961934586367
german,0,Rashomon,all,RF,min_samples_split,,decomp_ratio_of_sums,0.0854440530134672
german,0,Rashomon,all,RF,max_features,,decomp_ratio_of_sums,0.08395302685402525
german,0,Rashomon,all,kNN,n_neighbors,,decomp_ratio_of_sums,0.6807977378854861
german,0,Rashomon,all,kNN,p,,decomp_ratio_of_sums,0.2506548525426207
german,0,Rashomon,all,kNN,weights,,decomp_ratio_of_sums,0.04439439576773999
german,0,Rashomon,HH,GBM,learning_rate,,decomp_ratio_of_sums,0.36772205258676144
german,0,Rashomon,HH,GBM,subsample,,decomp_ratio_of_sums,0.13003405777434165
german,0,Rashomon,HH,GBM,max_depth,,decomp_ratio_of_sums,0.1188519967132685
