run,n_components,max_component_size,mean_hh_fraction,mean_jaccard,min_jaccard,max_jaccard,hh_support_size,hh_support_mean_f,hh_support_median_f,hh_support_bucket_00_02,hh_support_bucket_02_05,hh_support_bucket_05_08,hh_support_bucket_08_10,hh_support_bucket_00_02_frac,hh_support_bucket_02_05_frac,hh_support_bucket_05_08_frac,hh_support_bucket_08_10_frac,hh_core_to_support_ratio
seed=0,0,0,0.0175,0.1557255090588424,0.0,1.0,0.105,0.16666666666666669,0.1,17.0,3.0,1.0,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616
seed=1,1,6,0.0175,0.1557255090588424,0.0,1.0,0.105,0.16666666666666669,0.1,17.0,3.0,1.0,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616
seed=2,1,7,0.0175,0.1557255090588424,0.0,1.0,0.105,0.16666666666666669,0.1,17.0,3.0,1.0,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616
seed=3,0,0,0.0175,0.1557255090588424,0.0,1.0,0.105,0.16666666666666669,0.1,17.0,3.0,1.0,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616
seed=4,0,0,0.0175,0.1557255090588424,0.0,1.0,0.105,0.16666666666666669,0.1,17.0,3.0,1.0,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616
seed=5,1,5,0.0175,0.1557255090588424,0.0,1.0,0.105,0.16666666666666669,0.1,17.0,3.0,1.0,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616
seed=6,0,0,0.0175,0.1557255090588424,0.0,1.0,0.105,0.16666666666666669,0.1,17.0,3.0,1.0,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616
seed=7,0,0,0.0175,0.1557255090588424,0.0,1.0,0.105,0.16666666666666669,0.1,17.0,3.0,1.0,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616
seed=8,1,7,0.0175,0.1557255090588424,0.0,1.0,0.105,0.16666666666666669,0.1,17.0,3.0,1.0,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616
seed=9,0,0,0.0175,0.1557255090588424,0.0,1.0,0.105,0.16666666666666669,0.1,17.0,3.0,1.0,0.0,0.8095238095238095,0.14285714285714285,0.047619047619047616,0.0,0.047619047619047616
